[00:00:34]	D47.MPF-DvL.514 used command '/Dispatch ANTI-CITIZEN'.
[00:48:03]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hdpolice_i1.mdl'.
[00:48:04]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hdpolice_i2.mdl'.
[00:48:06]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hdpolice_i3.mdl'.
[00:48:08]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hdpolice_i4.mdl'.
[00:48:10]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hdpolice_i5.mdl'.
[00:48:20]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/trenchcoat_i1.mdl'.
[00:48:21]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/trenchcoat_i2.mdl'.
[00:48:22]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/trenchcoat_i3.mdl'.
[00:48:23]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/trenchcoat_i4.mdl'.
[00:48:27]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/trenchcoat_ofc.mdl'.
[00:48:28]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/trenchcoat_dvl.mdl'.
[00:48:30]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/trenchcoat_dvl.mdl'.
[00:48:37]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle.mdl'.
[00:48:40]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle.mdl'.
[00:48:48]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle_ofc.mdl'.
[00:48:51]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle_dvl.mdl'.
[00:53:10]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_hl2beta_police.mdl'.
[00:53:13]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_hl2beta_police.mdl'.
[00:53:58]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_retrocop.mdl'.
[00:54:00]	D47.MPF-DvL.514 entered observer.
[00:54:08]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_hl2concept.mdl'.
[00:54:24]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_c08cop.mdl'.
[00:54:26]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_c08cop.mdl'.
[00:54:37]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_hdpolice.mdl'.
[00:54:52]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_urban_police.mdl'.
[00:56:49]	D47.MPF-DvL.514 exited observer at their location.
[00:56:50]	D47.MPF-DvL.514 has gained 50 tokens.
[00:56:51]	D47.MPF-DvL.514 entered observer.
[00:56:59]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle.mdl'.
[00:57:03]	D47.MPF-DvL.514 exited observer at their location.
[00:58:08]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle_dvl.mdl'.
[00:58:13]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle.mdl'.
[00:58:23]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/trenchcoat_hunter_ofc.mdl'.
[00:58:25]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/trenchcoat_hunter_dvl.mdl'.
[00:58:28]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/trenchcoat_dvl.mdl'.
[00:58:29]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle_ofc.mdl'.
[00:58:41]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/hunter_police_subtle_ofc.mdl'.
[00:58:54]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_hunter_police.mdl'.
[00:58:59]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_tron_police_or.mdl'.
[00:59:00]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_tron_police_cn.mdl'.
[00:59:02]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_tribal_police.mdl'.
[00:59:05]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_steampunk_police.mdl'.
[00:59:08]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_skull_police.mdl'.
[00:59:09]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_rogue_police.mdl'.
[00:59:22]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_hunter_police.mdl'.
[00:59:25]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_hl2beta_police.mdl'.
[00:59:46]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_black_police.mdl'.
[00:59:52]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_skull_police.mdl'.
[00:59:52]	D47.MPF-DvL.514 entered observer.
[01:00:02]	D47.MPF-DvL.514 exited observer at their location.
[01:00:04]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_biopolice.mdl'.
[01:00:05]	D47.MPF-DvL.514 entered observer.
[01:00:07]	D47.MPF-DvL.514 exited observer at their location.
[01:01:23]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_badass_police.mdl'.
[01:01:26]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_arctic_police.mdl'.
[01:01:31]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_arctic_police.mdl'.
[01:01:50]	D47.MPF-DvL.514 has gained 50 tokens.
[01:02:07]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_biopolice.mdl'.
[01:02:09]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/props/badass_glasses.mdl'.
[01:02:11]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_badass_police.mdl'.
[01:02:13]	D47.MPF-DvL.514 has spawned 'models/dpfilms/metropolice/playermodels/pm_biopolice.mdl'.
[01:06:51]	D47.MPF-DvL.514 has gained 50 tokens.
[01:11:51]	D47.MPF-DvL.514 has gained 50 tokens.
[01:16:51]	D47.MPF-DvL.514 has gained 50 tokens.
[01:21:51]	D47.MPF-DvL.514 has gained 50 tokens.
[01:26:51]	D47.MPF-DvL.514 has gained 50 tokens.
[01:31:51]	D47.MPF-DvL.514 has gained 50 tokens.
[01:32:14]	D47.MPF-DvL.514 entered observer.
[01:32:34]	D47.MPF-DvL.514 has spawned a 'NPC [477][npc_metropolice]'.
[01:32:49]	D47.MPF-DvL.514 has spawned a 'NPC [1392][npc_metropolice]'.
[01:32:52]	D47.MPF-DvL.514 has spawned a 'NPC [477][npc_metropolice]'.
[01:32:53]	D47.MPF-DvL.514 has spawned a 'NPC [1378][npc_metropolice]'.
[01:33:00]	D47.MPF-DvL.514 has spawned a 'NPC [1378][npc_metropolice]'.
[01:33:00]	D47.MPF-DvL.514 has spawned a 'NPC [1395][npc_metropolice]'.
[01:33:01]	D47.MPF-DvL.514 exited observer at their location.
[01:36:35]	D47.MPF-DvL.514 entered observer.
[01:36:51]	D47.MPF-DvL.514 has gained 50 tokens.
[01:38:32]	D47.MPF-DvL.514 exited observer at their location.
