[06:57:06]	Г@H3NK has connected.
[07:15:28]	Александр Климов has spawned 'models/props_wasteland/controlroom_storagecloset001a.mdl'.
[07:16:07]	Александр Климов entered observer.
[07:16:09]	Александр Климов has spawned 'models/props_wasteland/cafeteria_table001a.mdl'.
[07:16:15]	Александр Климов has spawned 'models/props_wasteland/cafeteria_table001a.mdl'.
[07:16:17]	Александр Климов exited observer at their location.
[07:16:33]	Александр Климов entered observer.
[07:16:35]	Александр Климов exited observer at their location.
[07:17:12]	Александр Климов has spawned 'models/props_junk/iBeam01a_cluster01.mdl'.
[07:17:19]	Александр Климов has spawned 'models/props_junk/iBeam01a_cluster01.mdl'.
[07:17:25]	Александр Климов entered observer.
[07:17:41]	Александр Климов exited observer at their location.
[07:17:56]	Александр Климов has spawned 'models/props_junk/TrashDumpster02b.mdl'.
[07:18:34]	Александр Климов entered observer.
[07:18:36]	Александр Климов exited observer at their location.
[07:18:49]	Александр Климов has spawned 'models/props_junk/cardboard_box001a.mdl'.
[07:18:56]	Александр Климов entered observer.
[07:18:58]	Александр Климов exited observer at their location.
[07:19:01]	Александр Климов has spawned 'models/props_junk/MetalBucket01a.mdl'.
[07:20:42]	Александр Климов has spawned 'models/props_c17/door01_left.mdl'.
[07:21:41]	Александр Климов has spawned 'models/props_lab/filecabinet02.mdl'.
[07:22:00]	Александр Климов has set the password for 'File Cabinet'.
[07:22:09]	Александр Климов opened the 'File Cabinet' #43 container.
[07:22:25]	Александр Климов closed the 'File Cabinet' #43 container.
[07:22:30]	Александр Климов has spawned 'models/props_junk/TrashDumpster01a.mdl'.
[07:22:38]	Александр Климов has spawned 'models/props_c17/door01_left.mdl'.
[07:23:18]	Александр Климов has spawned 'models/props_wasteland/interior_fence001g.mdl'.
[07:24:23]	Александр Климов has spawned 'models/props_wasteland/interior_fence002e.mdl'.
[07:25:05]	Александр Климов has spawned 'models/props_wasteland/interior_fence002d.mdl'.
[07:25:24]	Александр Климов entered observer.
[07:25:28]	Александр Климов exited observer at their location.
[07:25:36]	Александр Климов has spawned 'models/props_c17/fence01b.mdl'.
[07:26:45]	Александр Климов has spawned 'models/props_wasteland/interior_fence002b.mdl'.
[07:27:34]	Александр Климов entered observer.
[07:27:35]	Александр Климов exited observer at their location.
[07:27:36]	Александр Климов entered observer.
[07:27:39]	Александр Климов exited observer at their location.
[07:27:43]	Александр Климов has spawned a 'Entity [830][ix_vendor]'.
[07:27:45]	Александр Климов entered observer.
[07:27:46]	Александр Климов exited observer at their location.
[07:28:00]	Александр Климов entered observer.
[07:28:09]	Александр Климов has spawned a 'Entity [830][ix_vendor]'.
[07:28:13]	Александр Климов has spawned a 'Entity [830][ix_vendor]'.
[07:28:14]	Александр Климов exited observer at their location.
[07:28:26]	Александр Климов used the 'John Doe' vendor.
[07:29:38]	Александр Климов used the 'Сара' vendor.
[07:29:51]	Александр Климов used the 'Сара' vendor.
[07:30:01]	Александр Климов entered observer.
[07:30:05]	Александр Климов has spawned a 'Entity [830][ix_vendor]'.
[07:30:06]	Александр Климов exited observer at their location.
[07:30:10]	Александр Климов used the 'John Doe' vendor.
[07:30:39]	Александр Климов entered observer.
[07:30:46]	Александр Климов exited observer at their location.
[07:31:24]	Александр Климов used the 'Сара' vendor.
[07:39:17]	Александр Климов entered observer.
[07:39:20]	Александр Климов exited observer at their location.
[07:39:27]	Александр Климов entered observer.
[07:39:29]	Александр Климов used the 'Сара' vendor.
[07:39:36]	Александр Климов exited observer at their location.
[07:39:55]	Александр Климов entered observer.
[07:40:06]	Александр Климов exited observer at their location.
[07:40:09]	Александр Климов entered observer.
[07:40:13]	Александр Климов exited observer at their location.
[07:42:18]	Александр Климов entered observer.
[07:42:25]	Александр Климов exited observer at their location.
[07:42:33]	Александр Климов entered observer.
[07:42:36]	Александр Климов exited observer at their location.
[07:42:36]	Александр Климов entered observer.
[07:42:37]	Александр Климов exited observer at their location.
[07:42:37]	Александр Климов entered observer.
[07:42:38]	Александр Климов exited observer at their location.
[07:42:50]	Александр Климов entered observer.
[07:42:51]	Александр Климов exited observer at their location.
[07:43:17]	Александр Климов entered observer.
[07:43:19]	Александр Климов exited observer at their location.
[07:43:19]	Александр Климов entered observer.
[07:43:20]	Александр Климов exited observer at their location.
[07:43:24]	Александр Климов entered observer.
[07:43:25]	Александр Климов exited observer at their location.
[07:43:35]	Александр Климов entered observer.
[07:43:37]	Александр Климов exited observer at their location.
[07:43:48]	Александр Климов entered observer.
[07:43:50]	Александр Климов exited observer at their location.
[07:44:19]	Александр Климов used the 'Сара' vendor.
[07:45:08]	Александр Климов entered observer.
[07:45:08]	Александр Климов exited observer at their location.
[07:45:09]	Александр Климов opened the 'File Cabinet' #43 container.
[07:45:22]	Александр Климов closed the 'File Cabinet' #43 container.
[07:45:22]	Александр Климов entered observer.
[07:45:23]	Александр Климов exited observer at their location.
[07:45:40]	Александр Климов used the 'Арина' vendor.
[07:47:39]	Александр Климов used the 'Арина' vendor.
[07:47:41]	Александр Климов has gained 0 tokens.
[07:47:41]	Александр Климов has gained a 'AK-47' #129.
[07:47:42]	Александр Климов has gained 0 tokens.
[07:47:47]	Александр Климов ran 'take' on item 'AK-47' (#130)
[07:47:50]	Александр Климов ran 'drop' on item 'AK-47' (#129)
[07:47:50]	Александр Климов has lost a 'AK-47' #129.
[07:48:02]	Александр Климов used the 'Арина' vendor.
[07:48:59]	Александр Климов used the 'Арина' vendor.
[07:49:01]	Александр Климов used the 'Арина' vendor.
[07:52:41]	Александр Климов has spawned a 'Entity [840][item_ammo_pistol_large]'.
[07:54:18]	Александр Климов has spawned 'models/weapons/arccw/c_ppa.mdl'.
[07:54:24]	Александр Климов has spawned 'models/weapons/arccw/w_roland.mdl'.
[07:54:31]	Александр Климов has spawned 'models/weapons/arccw/c_sp40.mdl'.
[07:54:39]	Александр Климов has spawned 'models/weapons/arccw/w_pmt.mdl'.
[08:00:06]	Александр Климов used the 'Арина' vendor.
[08:00:58]	Александр Климов used the 'Арина' vendor.
[08:01:11]	Александр Климов used the 'Арина' vendor.
[08:05:56]	Александр Климов used the 'Арина' vendor.
[08:06:07]	Александр Климов used the 'Арина' vendor.
[08:06:10]	Александр Климов has gained 80 tokens.
[08:06:52]	Александр Климов entered observer.
[08:06:53]	Александр Климов opened the 'File Cabinet' #43 container.
[08:06:56]	Александр Климов has gained a 'ДС Дробовик' #91.
[08:06:58]	Александр Климов closed the 'File Cabinet' #43 container.
[08:07:00]	Александр Климов exited observer at their location.
[08:07:00]	Александр Климов entered observer.
[08:07:00]	Александр Климов exited observer at their location.
[08:07:01]	Александр Климов used the 'Арина' vendor.
[08:07:13]	Александр Климов used the 'Арина' vendor.
[08:09:30]	Александр Климов has gained a 'M3 Super 90' #129.
[08:09:30]	Александр Климов used command '/CharGiveItem А m3 2'.
[08:09:33]	Александр Климов used command '/CharGiveItem А m3'.
[08:09:37]	Александр Климов used the 'Арина' vendor.
[08:09:40]	Александр Климов has gained 100 tokens.
[08:09:41]	Александр Климов has gained 300 tokens.
[08:59:18]	Александр Климов entered observer.
[08:59:19]	Александр Климов exited observer at their location.
[09:01:11]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:01:24]	Александр Климов has set container 44 name to 'Арсенал'.
[09:01:26]	Александр Климов opened the 'Арсенал' #44 container.
[09:01:31]	Александр Климов closed the 'Арсенал' #44 container.
[09:03:22]	Александр Климов has spawned 'models/props_junk/wood_crate001a.mdl'.
[09:03:50]	Александр Климов entered observer.
[09:03:54]	Александр Климов exited observer at their location.
[09:03:55]	Александр Климов entered observer.
[09:04:03]	Александр Климов has spawned a 'Entity [691][ix_vendor]'.
[09:04:04]	Александр Климов exited observer at their location.
[09:04:05]	Александр Климов used the 'John Doe' vendor.
[09:05:00]	Александр Климов used the 'John Doe' vendor.
[09:11:29]	Александр Климов used the 'Арина' vendor.
[09:11:39]	Александр Климов entered observer.
[09:12:42]	Александр Климов exited observer at their location.
[09:13:02]	Александр Климов entered observer.
[09:13:26]	Александр Климов exited observer at their location.
[09:14:08]	Александр Климов entered observer.
[09:14:11]	Александр Климов exited observer at their location.
[09:14:25]	Александр Климов entered observer.
[09:14:26]	Александр Климов exited observer at their location.
[09:14:28]	Александр Климов entered observer.
[09:14:40]	Александр Климов exited observer at their location.
[09:14:51]	Александр Климов entered observer.
[09:15:04]	Александр Климов exited observer at their location.
[09:15:32]	Александр Климов entered observer.
[09:15:36]	Александр Климов exited observer at their location.
[09:15:48]	Александр Климов used the 'Арина' vendor.
[09:15:59]	Александр Климов entered observer.
[09:16:01]	Александр Климов exited observer at their location.
[09:16:06]	Александр Климов has spawned 'models/props_c17/FurnitureMattress001a.mdl'.
[09:16:25]	Александр Климов has enabled persistence for 'Entity [841][prop_ragdoll]'.
[09:16:33]	Александр Климов has spawned 'models/props_debris/metal_panel02a.mdl'.
[09:16:35]	Александр Климов has spawned 'models/props_c17/FurnitureMattress001a.mdl'.
[09:16:40]	Александр Климов has spawned 'models/props_c17/FurnitureMattress001a.mdl'.
[09:16:54]	Александр Климов has enabled persistence for 'Entity [842][prop_ragdoll]'.
[09:17:04]	Александр Климов has enabled persistence for 'models/props_wasteland/prison_bedframe001b.mdl'.
[09:17:06]	Александр Климов has enabled persistence for 'models/props_wasteland/prison_bedframe001b.mdl'.
[09:17:08]	Александр Климов has enabled persistence for 'models/props_wasteland/prison_bedframe001b.mdl'.
[09:17:09]	Александр Климов has enabled persistence for 'models/props_wasteland/prison_bedframe001b.mdl'.
[09:18:36]	Александр Климов has spawned 'models/Items/ammocrate_grenade.mdl'.
[09:18:42]	Александр Климов has spawned 'models/Items/ammocrate_smg1.mdl'.
[09:18:50]	Александр Климов opened the 'Ammo Crate' #44 container.
[09:18:51]	Александр Климов closed the 'Ammo Crate' #44 container.
[09:18:52]	Александр Климов opened the 'Ammo Crate' #44 container.
[09:18:52]	Александр Климов closed the 'Ammo Crate' #44 container.
[09:18:53]	Александр Климов opened the 'Ammo Crate' #44 container.
[09:18:53]	Александр Климов closed the 'Ammo Crate' #44 container.
[09:19:00]	Александр Климов opened the 'Ammo Crate' #44 container.
[09:19:02]	Александр Климов closed the 'Ammo Crate' #44 container.
[09:19:18]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #129.
[09:19:18]	Александр Климов used command '/CharGiveItem А smg1ammo'.
[09:19:21]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #130.
[09:19:21]	Александр Климов used command '/CharGiveItem А smg1ammo'.
[09:19:24]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #131.
[09:19:24]	Александр Климов used command '/CharGiveItem А smg1ammo'.
[09:19:25]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #132.
[09:19:25]	Александр Климов used command '/CharGiveItem А smg1ammo'.
[09:19:25]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #133.
[09:19:25]	Александр Климов used command '/CharGiveItem А smg1ammo'.
[09:19:26]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #134.
[09:19:26]	Александр Климов used command '/CharGiveItem А smg1ammo'.
[09:19:27]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #135.
[09:19:27]	Александр Климов used command '/CharGiveItem А smg1ammo'.
[09:19:27]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #136.
[09:19:27]	Александр Климов used command '/CharGiveItem А smg1ammo'.
[09:19:28]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #137.
[09:19:28]	Александр Климов used command '/CharGiveItem А smg1ammo'.
[09:19:29]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #138.
[09:19:29]	Александр Климов used command '/CharGiveItem А smg1ammo'.
[09:19:31]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #139.
[09:19:31]	Александр Климов used command '/CharGiveItem А smg1ammo'.
[09:19:32]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #140.
[09:19:32]	Александр Климов used command '/CharGiveItem А smg1ammo'.
[09:19:33]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #141.
[09:19:33]	Александр Климов used command '/CharGiveItem А smg1ammo'.
[09:19:33]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #142.
[09:19:33]	Александр Климов used command '/CharGiveItem А smg1ammo'.
[09:19:34]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #143.
[09:19:34]	Александр Климов used command '/CharGiveItem А smg1ammo'.
[09:19:36]	Александр Климов opened the 'Ammo Crate' #44 container.
[09:19:56]	Александр Климов closed the 'Ammo Crate' #44 container.
[09:20:03]	Александр Климов has set the password for 'Ammo Crate'.
[09:20:25]	Александр Климов has set container 44 name to 'Ящик с патронами среднего калибра'.
[09:20:54]	Александр Климов has set container 44 name to 'ПАТРОНЫ (пароль: ammo)'.
[09:21:06]	Александр Климов has spawned 'models/Items/ammoCrate_Rockets.mdl'.
[09:21:07]	Александр Климов has taken 10 damage from Александр Климов.
[09:21:09]	Александр Климов has spawned 'models/Items/ammocrate_smg1.mdl'.
[09:21:34]	Александр Климов has set container 45 name to 'ПАТРОНЫ (пароль: ammo)'.
[09:21:43]	Александр Климов has set the password for 'ПАТРОНЫ (пароль: ammo)'.
[09:21:50]	Александр Климов opened the 'ПАТРОНЫ (пароль: ammo)' #45 container.
[09:21:51]	Александр Климов closed the 'ПАТРОНЫ (пароль: ammo)' #45 container.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #144.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #145.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #146.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #147.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #148.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #149.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #150.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #151.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #152.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #153.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #154.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #155.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #156.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #157.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #158.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #159.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #160.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #161.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #162.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #163.
[09:22:07]	Александр Климов has gained a 'Ящик среднекалиберных патрон' #164.
[09:22:07]	Александр Климов used command '/CharGiveItem А smg1ammo 30'.
[09:22:09]	Александр Климов opened the 'ПАТРОНЫ (пароль: ammo)' #45 container.
[09:22:26]	Александр Климов closed the 'ПАТРОНЫ (пароль: ammo)' #45 container.
[09:22:27]	Александр Климов ran 'use' on item 'Ящик среднекалиберных патрон' (#159)
[09:22:28]	Александр Климов ran 'use' on item 'Ящик среднекалиберных патрон' (#160)
[09:22:28]	Александр Климов ran 'use' on item 'Ящик среднекалиберных патрон' (#161)
[09:22:29]	Александр Климов ran 'use' on item 'Ящик среднекалиберных патрон' (#162)
[09:22:29]	Александр Климов ran 'use' on item 'Ящик среднекалиберных патрон' (#163)
[09:22:30]	Александр Климов ran 'use' on item 'Ящик среднекалиберных патрон' (#164)
[09:22:34]	Александр Климов opened the 'ПАТРОНЫ (пароль: ammo)' #45 container.
[09:22:36]	Александр Климов closed the 'ПАТРОНЫ (пароль: ammo)' #45 container.
[09:22:47]	Александр Климов has spawned 'models/Items/ammocrate_smg1.mdl'.
[09:22:59]	Александр Климов has spawned 'models/Items/ammocrate_smg1.mdl'.
[09:23:02]	Александр Климов has spawned 'models/Items/ammocrate_ar2.mdl'.
[09:23:03]	Александр Климов has spawned 'models/Items/ammocrate_grenade.mdl'.
[09:23:06]	Александр Климов has spawned 'models/Items/ammocrate_smg1.mdl'.
[09:23:13]	Александр Климов entered observer.
[09:23:19]	Александр Климов exited observer at their location.
[09:23:19]	Александр Климов used the 'Арина' vendor.
[09:23:25]	Александр Климов entered observer.
[09:23:27]	Александр Климов exited observer at their location.
[09:23:39]	Александр Климов entered observer.
[09:23:43]	Александр Климов exited observer at their location.
[09:23:48]	Александр Климов opened the 'Ammo Crate' #47 container.
[09:23:50]	Александр Климов closed the 'Ammo Crate' #47 container.
[09:24:04]	Александр Климов opened the 'ПАТРОНЫ (пароль: ammo)' #45 container.
[09:24:06]	Александр Климов closed the 'ПАТРОНЫ (пароль: ammo)' #45 container.
[09:24:14]	Александр Климов entered observer.
[09:24:16]	Александр Климов exited observer at their location.
[09:24:20]	Александр Климов entered observer.
[09:24:24]	Александр Климов exited observer at their location.
[09:25:19]	Александр Климов used command '/TextAdd ПАТРОНЫ Ср. калибр'.
[09:25:24]	Александр Климов used command '/TextAdd ПАТРОНЫ Ср. калибр'.
[09:25:28]	Александр Климов used command '/TextRemove'.
[09:25:32]	Александр Климов used command '/TextAdd ПАТРОНЫ Ср. калибр'.
[09:26:08]	Александр Климов used command '/TextAdd ПАТРОНЫ Млк. калибр'.
[09:26:09]	Александр Климов used command '/TextRemove'.
[09:26:28]	Александр Климов used command '/TextAdd ПАТРОНЫ Млк. калибр'.
[09:26:33]	Александр Климов used command '/TextAdd ПАТРОНЫ Млк. калибр'.
[09:26:59]	Александр Климов entered observer.
[09:27:14]	Александр Климов exited observer at their location.
[09:28:02]	Александр Климов has set container 47 name to 'ПАТРОНЫ (пароль: ammo)'.
[09:28:07]	Александр Климов has set container 46 name to 'ПАТРОНЫ (пароль: ammo)'.
[09:28:10]	Александр Климов has set the password for 'ПАТРОНЫ (пароль: ammo)'.
[09:28:14]	Александр Климов has set the password for 'ПАТРОНЫ (пароль: ammo)'.
[09:28:20]	Александр Климов opened the 'ПАТРОНЫ (пароль: ammo)' #47 container.
[09:28:21]	Александр Климов closed the 'ПАТРОНЫ (пароль: ammo)' #47 container.
[09:28:26]	Александр Климов opened the 'ПАТРОНЫ (пароль: ammo)' #46 container.
[09:28:27]	Александр Климов closed the 'ПАТРОНЫ (пароль: ammo)' #46 container.
[09:28:49]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #159.
[09:28:49]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #160.
[09:28:49]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #161.
[09:28:49]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #162.
[09:28:49]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #163.
[09:28:49]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #164.
[09:28:49]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #165.
[09:28:49]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #166.
[09:28:49]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #167.
[09:28:49]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #168.
[09:28:49]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #169.
[09:28:49]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #170.
[09:28:49]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #171.
[09:28:49]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #172.
[09:28:49]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #173.
[09:28:49]	Александр Климов used command '/CharGiveItem А pistolammo 15'.
[09:28:51]	Александр Климов opened the 'ПАТРОНЫ (пароль: ammo)' #47 container.
[09:29:25]	Александр Климов closed the 'ПАТРОНЫ (пароль: ammo)' #47 container.
[09:29:27]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #174.
[09:29:27]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #175.
[09:29:27]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #176.
[09:29:27]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #177.
[09:29:27]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #178.
[09:29:27]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #179.
[09:29:27]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #180.
[09:29:27]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #181.
[09:29:27]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #182.
[09:29:27]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #183.
[09:29:27]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #184.
[09:29:27]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #185.
[09:29:27]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #186.
[09:29:27]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #187.
[09:29:27]	Александр Климов has gained a 'Ящик мелкокалиберных патронов' #188.
[09:29:27]	Александр Климов used command '/CharGiveItem А pistolammo 15'.
[09:29:28]	Александр Климов opened the 'ПАТРОНЫ (пароль: ammo)' #46 container.
[09:29:52]	Александр Климов closed the 'ПАТРОНЫ (пароль: ammo)' #46 container.
[09:30:59]	Александр Климов used command '/TextAdd ПАТРОНЫ ЕЖЕ НЕДЕЛЬНО ПОПОЛНЯЮТСЯ'.
[09:31:04]	Александр Климов used command '/TextAdd ПАТРОНЫ ЕЖЕ НЕДЕЛЬНО ПОПОЛНЯЮТСЯ'.
[09:31:08]	Александр Климов used command '/TextRemove'.
[09:32:05]	Александр Климов used command '/TextRemove'.
[09:32:08]	Александр Климов used command '/TextRemove'.
[09:32:11]	Александр Климов used command '/TextRemove'.
[09:32:13]	Александр Климов used command '/TextRemove'.
[09:32:15]	Александр Климов used command '/TextRemove'.
[09:32:56]	Александр Климов used command '/TextAdd ПАТРОНЫ ЕЖЕ НЕДЕЛЬНО ПОПОЛНЯЮТСЯ'.
[09:33:16]	Александр Климов used command '/TextRemove'.
[09:34:01]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:34:34]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:34:45]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:34:50]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:34:53]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:34:55]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:34:57]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:35:27]	Александр Климов has spawned 'models/props_c17/concrete_barrier001a.mdl'.
[09:35:34]	Александр Климов has spawned 'models/props_c17/concrete_barrier001a.mdl'.
[09:36:05]	Александр Климов has spawned 'models/props_c17/concrete_barrier001a.mdl'.
[09:36:14]	Александр Климов has spawned 'models/props_c17/concrete_barrier001a.mdl'.
[09:36:42]	Александр Климов has enabled persistence for 'models/props_c17/concrete_barrier001a.mdl'.
[09:36:43]	Александр Климов has enabled persistence for 'models/props_c17/concrete_barrier001a.mdl'.
[09:36:43]	Александр Климов has enabled persistence for 'models/props_c17/concrete_barrier001a.mdl'.
[09:36:44]	Александр Климов has enabled persistence for 'models/props_c17/concrete_barrier001a.mdl'.
[09:37:19]	Александр Климов entered observer.
[09:37:50]	Александр Климов exited observer at their location.
[09:37:51]	Александр Климов opened the 'ПАТРОНЫ (пароль: ammo)' #47 container.
[09:37:53]	Александр Климов closed the 'ПАТРОНЫ (пароль: ammo)' #47 container.
[09:37:54]	Александр Климов opened the 'ПАТРОНЫ (пароль: ammo)' #46 container.
[09:37:57]	Александр Климов closed the 'ПАТРОНЫ (пароль: ammo)' #46 container.
[09:40:12]	Александр Климов entered observer.
[09:40:23]	Александр Климов exited observer at their location.
[09:40:33]	Александр Климов entered observer.
[09:40:39]	Александр Климов exited observer at their location.
[09:40:47]	Александр Климов entered observer.
[09:40:48]	Александр Климов exited observer at their location.
[09:42:53]	Александр Климов has spawned 'models/props_phx/construct/concrete_pipe01.mdl'.
[09:43:45]	Александр Климов entered observer.
[09:43:52]	Александр Климов exited observer at their location.
