[01:27:22]	Г@H3NK has connected.
[02:46:41]	D47.MPF-DvL.514 has spawned 'models/props_lab/clipboard.mdl'.
[02:46:49]	D47.MPF-DvL.514 has spawned 'models/props_lab/corkboard002.mdl'.
[02:46:57]	D47.MPF-DvL.514 entered observer.
[02:46:59]	D47.MPF-DvL.514 exited observer at their location.
[02:47:28]	D47.MPF-DvL.514 entered observer.
[02:47:30]	D47.MPF-DvL.514 exited observer at their location.
[02:47:45]	D47.MPF-DvL.514 has spawned 'models/hunter/blocks/cube1x3x025.mdl'.
[02:47:46]	D47.MPF-DvL.514 has spawned 'models/hunter/blocks/cube1x2x025.mdl'.
[02:48:16]	D47.MPF-DvL.514 entered observer.
[02:48:22]	D47.MPF-DvL.514 exited observer at their location.
[02:48:32]	D47.MPF-DvL.514 entered observer.
[02:48:42]	D47.MPF-DvL.514 exited observer at their location.
[02:48:43]	D47.MPF-DvL.514 entered observer.
[02:48:45]	D47.MPF-DvL.514 exited observer at their location.
[02:48:57]	D47.MPF-DvL.514 has spawned 'models/hunter/plates/plate1x2.mdl'.
[02:49:18]	D47.MPF-DvL.514 entered observer.
[02:49:33]	D47.MPF-DvL.514 exited observer at their location.
[02:49:54]	D47.MPF-DvL.514 entered observer.
[02:49:56]	D47.MPF-DvL.514 exited observer at their location.
[02:50:04]	D47.MPF-DvL.514 entered observer.
[02:50:22]	D47.MPF-DvL.514 exited observer at their location.
[02:50:30]	D47.MPF-DvL.514 entered observer.
[02:50:31]	D47.MPF-DvL.514 exited observer at their location.
[02:50:32]	D47.MPF-DvL.514 has gained 50 tokens.
[02:50:43]	D47.MPF-DvL.514 entered observer.
[02:50:45]	D47.MPF-DvL.514 exited observer at their location.
[02:50:51]	D47.MPF-DvL.514 entered observer.
[02:51:00]	D47.MPF-DvL.514 exited observer at their location.
[02:51:04]	D47.MPF-DvL.514 used command '/AreaEdit'.
[02:51:05]	D47.MPF-DvL.514 entered observer.
[02:51:41]	D47.MPF-DvL.514 has added area "ГСР".
[02:51:51]	D47.MPF-DvL.514 exited observer at their location.
[02:51:53]	D47.MPF-DvL.514 entered observer.
[02:51:54]	D47.MPF-DvL.514 exited observer at their location.
[02:51:55]	D47.MPF-DvL.514 entered observer.
[02:51:55]	D47.MPF-DvL.514 exited observer at their location.
[02:55:32]	D47.MPF-DvL.514 has gained 50 tokens.
[02:57:32]	D47.MPF-DvL.514 has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[02:57:52]	D47.MPF-DvL.514 has spawned 'models/props_combine/breenchair.mdl'.
[02:58:30]	D47.MPF-DvL.514 has spawned 'models/props_interiors/Furniture_chair03a.mdl'.
[02:58:32]	D47.MPF-DvL.514 has spawned 'models/props_interiors/Furniture_chair01a.mdl'.
[02:59:09]	D47.MPF-DvL.514 has spawned 'models/props_lab/chess.mdl'.
[03:00:04]	D47.MPF-DvL.514 has spawned 'models/props_lab/partsbin01.mdl'.
[03:00:32]	D47.MPF-DvL.514 has gained 50 tokens.
[03:01:53]	D47.MPF-DvL.514 has spawned 'models/props_lab/huladoll.mdl'.
[03:03:49]	D47.MPF-DvL.514 has spawned 'models/props_wasteland/controlroom_chair001a.mdl'.
[03:04:00]	D47.MPF-DvL.514 has spawned 'models/props_c17/oildrum001.mdl'.
[03:04:10]	D47.MPF-DvL.514 has spawned 'models/props_wasteland/controlroom_chair001a.mdl'.
[03:04:29]	D47.MPF-DvL.514 has spawned 'models/props_wasteland/dockplank01b.mdl'.
[03:04:43]	D47.MPF-DvL.514 has spawned 'models/props_trainstation/trainstation_clock001.mdl'.
[03:04:54]	D47.MPF-DvL.514 has spawned 'models/props_junk/PopCan01a.mdl'.
[03:04:55]	D47.MPF-DvL.514 has spawned 'models/props_junk/PopCan01a.mdl'.
[03:04:56]	D47.MPF-DvL.514 has spawned 'models/props_junk/PopCan01a.mdl'.
[03:05:08]	D47.MPF-DvL.514 has spawned 'models/props_junk/cardboard_box004a.mdl'.
[03:05:12]	D47.MPF-DvL.514 has spawned 'models/props_junk/cardboard_box004a.mdl'.
[03:05:22]	D47.MPF-DvL.514 has spawned 'models/props_c17/FurnitureChair001a.mdl'.
[03:05:32]	D47.MPF-DvL.514 has gained 50 tokens.
[03:05:42]	D47.MPF-DvL.514 has spawned 'models/props_wasteland/controlroom_filecabinet001a.mdl'.
[03:05:45]	D47.MPF-DvL.514 opened the 'File Cabinet' #100 container.
[03:05:50]	D47.MPF-DvL.514 closed the 'File Cabinet' #100 container.
[03:07:14]	D47.MPF-DvL.514 has set container 100 name to 'Полка'.
[03:07:26]	D47.MPF-DvL.514 has set the password for 'Полка'.
[03:07:43]	D47.MPF-DvL.514 opened the 'Полка' #100 container.
[03:07:53]	D47.MPF-DvL.514 has gained a 'Броня ГО' #415.
[03:08:32]	D47.MPF-DvL.514 has given 50000 tokens to 'Полка' #100 (50000 tokens left).
[03:08:42]	D47.MPF-DvL.514 has given 6700 tokens to 'Полка' #100 (56700 tokens left).
[03:08:47]	D47.MPF-DvL.514 has given 3000 tokens to 'Полка' #100 (59700 tokens left).
[03:08:53]	D47.MPF-DvL.514 closed the 'Полка' #100 container.
[03:09:10]	D47.MPF-DvL.514 ran 'EquipUn' on item 'M4' (#398)
[03:09:14]	D47.MPF-DvL.514 ran 'Equip' on item 'M4' (#398)
[03:09:37]	D47.MPF-DvL.514 has gained a 'Desert Eagle' #416.
[03:09:37]	D47.MPF-DvL.514 used command '/CharGiveItem D47 de50ae'.
[03:09:40]	D47.MPF-DvL.514 opened the 'Полка' #100 container.
[03:09:49]	D47.MPF-DvL.514 closed the 'Полка' #100 container.
[03:09:51]	D47.MPF-DvL.514 opened the 'Полка' #100 container.
[03:09:53]	D47.MPF-DvL.514 closed the 'Полка' #100 container.
[03:10:00]	D47.MPF-DvL.514 has gained a '.357 Magnum Bullets' #417.
[03:10:00]	D47.MPF-DvL.514 used command '/CharGiveItem D47 357ammo'.
[03:10:04]	D47.MPF-DvL.514 ran 'use' on item '.357 Magnum Bullets' (#417)
[03:10:08]	D47.MPF-DvL.514 has gained a '.357 Magnum Bullets' #417.
[03:10:08]	D47.MPF-DvL.514 has gained a '.357 Magnum Bullets' #418.
[03:10:08]	D47.MPF-DvL.514 has gained a '.357 Magnum Bullets' #419.
[03:10:08]	D47.MPF-DvL.514 has gained a '.357 Magnum Bullets' #420.
[03:10:08]	D47.MPF-DvL.514 used command '/CharGiveItem D47 357ammo 4'.
[03:10:08]	D47.MPF-DvL.514 opened the 'Полка' #100 container.
[03:10:29]	D47.MPF-DvL.514 has given 97 tokens to 'Полка' #100 (59797 tokens left).
[03:10:30]	D47.MPF-DvL.514 closed the 'Полка' #100 container.
[03:10:32]	D47.MPF-DvL.514 has gained 50 tokens.
[03:11:02]	D47.MPF-DvL.514 has spawned 'models/props_interiors/Furniture_chair01a.mdl'.
[03:11:58]	D47.MPF-DvL.514 has spawned 'models/nova/chair_office01.mdl'.
[03:11:59]	D47.MPF-DvL.514 has spawned 'models/props_c17/chair_office01a.mdl'.
[03:12:01]	D47.MPF-DvL.514 has spawned 'models/nova/chair_office01.mdl'.
[03:13:29]	D47.MPF-DvL.514 entered observer.
[03:13:35]	D47.MPF-DvL.514 exited observer at their location.
[03:13:36]	D47.MPF-DvL.514 has spawned a 'Entity [1398][ix_vendingmachine]'.
[03:13:49]	D47.MPF-DvL.514 entered observer.
[03:13:50]	D47.MPF-DvL.514 exited observer at their location.
[03:14:00]	D47.MPF-DvL.514 has spawned a 'Entity [1398][ix_forcefield]'.
[03:14:04]	D47.MPF-DvL.514 has spawned a 'Entity [1487][ix_forcefield]'.
[03:14:05]	D47.MPF-DvL.514 entered observer.
[03:14:06]	D47.MPF-DvL.514 exited observer at their location.
[03:14:13]	D47.MPF-DvL.514 entered observer.
[03:14:14]	D47.MPF-DvL.514 exited observer at their location.
[03:14:15]	D47.MPF-DvL.514 has spawned a 'Entity [1392][ix_combinelock]'.
[03:14:16]	D47.MPF-DvL.514 entered observer.
[03:14:20]	D47.MPF-DvL.514 exited observer at their location.
[03:15:11]	D47.MPF-DvL.514 used command '/DoorSetTitle ГСР'.
[03:15:32]	D47.MPF-DvL.514 has gained 50 tokens.
[03:15:34]	D47.MPF-DvL.514 used command '/DoorSetHidden false'.
[03:20:04]	D47.MPF-DvL.514 used command '/AreaEdit'.
[03:20:05]	D47.MPF-DvL.514 entered observer.
[03:20:13]	D47.MPF-DvL.514 exited observer at their location.
[03:21:34]	D47.MPF-DvL.514 entered observer.
[03:21:36]	D47.MPF-DvL.514 exited observer at their location.
[03:22:19]	D47.MPF-DvL.514 entered observer.
[03:22:21]	D47.MPF-DvL.514 exited observer at their location.
[03:22:22]	D47.MPF-DvL.514 entered observer.
[03:22:25]	D47.MPF-DvL.514 exited observer at their location.
[03:22:28]	D47.MPF-DvL.514 entered observer.
[03:22:30]	D47.MPF-DvL.514 exited observer at their location.
[03:22:39]	D47.MPF-DvL.514 entered observer.
[03:22:45]	D47.MPF-DvL.514 exited observer at their location.
[03:22:55]	D47.MPF-DvL.514 entered observer.
[03:23:05]	D47.MPF-DvL.514 exited observer at their location.
[03:24:16]	D47.MPF-DvL.514 entered observer.
[03:24:17]	D47.MPF-DvL.514 exited observer at their location.
[03:24:24]	D47.MPF-DvL.514 entered observer.
[03:24:32]	D47.MPF-DvL.514 exited observer at their location.
[03:24:37]	D47.MPF-DvL.514 entered observer.
[03:24:57]	D47.MPF-DvL.514 exited observer at their location.
[03:25:33]	D47.MPF-DvL.514 used command '/TextAdd Стазис камеры'.
[03:26:07]	D47.MPF-DvL.514 has spawned 'models/weapons/w_pist_glock18.mdl'.
[03:26:16]	D47.MPF-DvL.514 has spawned 'models/weapons/w_irifle.mdl'.
[03:26:57]	D47.MPF-DvL.514 has spawned 'models/props_combine/tprotato2.mdl'.
[03:28:46]	D47.MPF-DvL.514 entered observer.
[03:28:51]	D47.MPF-DvL.514 exited observer at their location.
[03:28:56]	D47.MPF-DvL.514 entered observer.
[03:28:58]	D47.MPF-DvL.514 exited observer at their location.
[03:29:09]	D47.MPF-DvL.514 entered observer.
[03:29:15]	D47.MPF-DvL.514 has gained 50 tokens.
[03:29:32]	D47.MPF-DvL.514 exited observer at their location.
[03:29:41]	D47.MPF-DvL.514 entered observer.
[03:29:59]	D47.MPF-DvL.514 exited observer at their location.
[03:30:02]	D47.MPF-DvL.514 has spawned a 'Entity [1398][ix_combinelock]'.
[03:30:03]	D47.MPF-DvL.514 entered observer.
[03:30:04]	D47.MPF-DvL.514 exited observer at their location.
[03:30:05]	D47.MPF-DvL.514 has spawned a 'Entity [1433][ix_combinelock]'.
[03:30:11]	D47.MPF-DvL.514 entered observer.
[03:30:34]	D47.MPF-DvL.514 exited observer at their location.
[03:30:38]	D47.MPF-DvL.514 entered observer.
[03:31:03]	D47.MPF-DvL.514 exited observer at their location.
[03:31:04]	D47.MPF-DvL.514 entered observer.
[03:31:07]	D47.MPF-DvL.514 used command '/TextAdd Стазис камеры'.
[03:31:08]	D47.MPF-DvL.514 exited observer at their location.
[03:31:09]	D47.MPF-DvL.514 entered observer.
[03:31:09]	D47.MPF-DvL.514 exited observer at their location.
[03:31:11]	D47.MPF-DvL.514 has removed their last 3D text.
[03:31:12]	D47.MPF-DvL.514 entered observer.
[03:31:20]	D47.MPF-DvL.514 used command '/TextRemove'.
[03:31:24]	D47.MPF-DvL.514 exited observer at their location.
[03:31:31]	D47.MPF-DvL.514 used command '/TextAdd Стазис камеры'.
[03:31:34]	D47.MPF-DvL.514 has removed their last 3D text.
[03:31:41]	D47.MPF-DvL.514 used command '/TextAdd Стазис камеры'.
[03:31:49]	D47.MPF-DvL.514 entered observer.
[03:31:51]	D47.MPF-DvL.514 exited observer at their location.
[03:31:53]	D47.MPF-DvL.514 entered observer.
[03:32:15]	D47.MPF-DvL.514 exited observer at their location.
[03:34:57]	Г@H3NK loaded the character 'Алекс Климов'
[03:35:24]	Алекс Климов has spawned 'models/player/fall_winter/female_06.mdl'.
[03:35:39]	Алекс Климов used command '/CharSetModel А models/player/fall_winter/male_04.mdl'.
[03:38:58]	Алекс Климов used command '/BecomeClass cwu'.
[03:39:11]	Алекс Климов used command '/CharSetClass А cwu'.
[03:40:34]	Алекс Климов entered observer.
[03:40:36]	Алекс Климов exited observer at their location.
[03:40:39]	Алекс Климов entered observer.
[03:40:41]	Алекс Климов exited observer at their location.
[03:41:01]	Алекс Климов entered observer.
[03:41:02]	Алекс Климов exited observer at their location.
[03:42:42]	Алекс Климов has spawned a 'NPC [1378][npc_citizen]'.
[03:42:48]	Алекс Климов has spawned a 'NPC [1265][npc_citizen]'.
